#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
32.060787,0.058012,0.001788,0.000000,0.000000,32.120859
31.376160,0.025711,16.932051,0.000000,0.000000,48.334217
32.757089,0.039821,1.760891,0.000000,0.000000,34.558035
32.667943,0.041107,14.705140,0.000000,0.000000,47.414542
34.198320,0.058131,0.001269,0.000000,0.000000,34.257890
35.683651,0.028461,13.595622,0.000000,0.000000,49.308213
35.094196,0.026776,42.560104,0.000000,0.000000,77.681412
35.151650,0.025795,0.001412,0.000000,0.000000,35.179096
35.879441,0.018710,0.001563,0.000000,0.000000,35.899996
38.106234,0.022299,1.535202,0.000000,0.000000,39.664166
37.474388,0.027051,0.600099,0.000000,0.000000,38.101916
36.497414,0.062458,16.592568,0.000000,0.000000,53.153118
40.177803,0.049362,0.001370,0.000000,0.000000,40.228878
40.582160,0.029950,0.001214,0.000000,0.000000,40.613614
42.700560,0.026308,0.001423,0.000000,0.000000,42.728559
41.490553,0.027951,0.001257,0.000000,0.000000,41.520037
42.534252,0.027336,0.002052,0.000000,0.000000,42.563868
41.964231,0.021242,0.001447,0.000000,0.000000,41.987175
44.453473,0.023817,0.001343,0.000000,0.000000,44.478840
43.510403,0.022295,0.001522,0.000000,0.000000,43.534609
42.644262,0.019919,0.001451,0.000000,0.000000,42.665824
45.397523,0.016836,0.001513,0.000000,0.000000,45.416058
44.741749,0.025563,0.001537,0.000000,0.000000,44.769316
48.460995,0.012671,0.001253,0.000000,0.000000,48.475117
52.833316,0.015727,0.001529,0.000000,0.000000,52.850762
49.324622,0.020805,0.001447,0.000000,0.000000,49.347073
46.814194,0.015357,0.001685,0.000000,0.000000,46.831449
45.770441,0.019105,0.633473,0.000000,0.000000,46.423342
50.437927,0.025489,1.225863,0.000000,0.000000,51.689526
51.900347,0.041959,0.001516,0.000000,0.000000,51.944081
51.502487,0.035493,0.001542,0.000000,0.000000,51.539793
50.652752,0.019046,0.001883,0.000000,0.000000,50.673925
48.918384,0.015063,0.001275,0.000000,0.000000,48.934988
54.327849,0.016596,0.001372,0.000000,0.000000,54.346157
49.803980,0.024570,0.001226,0.000000,0.000000,49.829951
51.167798,0.006699,0.001378,0.000000,0.000000,51.176089
51.161626,0.010363,0.001613,0.000000,0.000000,51.173842
53.636151,0.016678,0.001301,0.000000,0.000000,53.654302
56.253762,0.008672,0.001431,0.000000,0.000000,56.264036
59.315233,0.008573,0.001085,0.000000,0.000000,59.325169
60.360506,0.014433,0.468874,0.000000,0.000000,60.844147
63.540982,0.008801,0.001521,0.000000,0.000000,63.551625
63.716253,0.039280,0.001948,0.000000,0.000000,63.758013
61.546996,0.018274,0.001566,0.000000,0.000000,61.567292
73.068067,0.007051,0.001526,0.000000,0.000000,73.076911
69.914167,0.011830,0.001192,0.000000,0.000000,69.927349
72.906181,0.013006,0.002116,0.000000,0.000000,72.921572
70.625243,0.009604,0.001659,0.000000,0.000000,70.636859
77.811255,0.023741,0.001173,0.000000,0.000000,77.836367
81.644304,0.018121,0.001374,0.000000,0.000000,81.664085
79.410445,0.011742,1.048272,0.000000,0.000000,80.471014
75.981788,0.026253,1.030898,0.000000,0.000000,77.039256
77.500158,0.027310,0.001656,0.000000,0.000000,77.529309
81.827506,0.025941,0.001321,0.000000,0.000000,81.854968
85.308212,0.035607,0.003464,0.000000,0.000000,85.348533
94.473969,0.020761,0.001954,0.000000,0.000000,94.497030
79.386386,0.018236,0.001283,0.000000,0.000000,79.406232
85.604223,0.025285,0.001807,0.000000,0.000000,85.631465
85.085330,0.018819,0.001718,0.000000,0.000000,85.106143
83.337017,0.024776,0.001401,0.000000,0.000000,83.363401
87.017221,0.029506,0.002043,0.000000,0.000000,87.049034
85.316751,0.032904,0.001930,0.000000,0.000000,85.351965
98.669685,0.034133,0.001236,0.000000,0.000000,98.705253
104.062105,0.015651,0.001398,0.000000,0.000000,104.079440
103.922178,0.021161,0.001968,0.000000,0.000000,103.945656
105.210762,0.026443,0.001646,0.000000,0.000000,105.239134
98.978280,0.024094,0.001894,0.000000,0.000000,99.004615
101.727722,0.023839,0.001291,0.000000,0.000000,101.753215
107.315456,0.035805,0.001387,0.000000,0.000000,107.352932
102.162846,0.029711,0.001398,0.000000,0.000000,102.194391
103.822285,0.023630,0.459391,0.000000,0.000000,104.305663
102.096673,0.035196,0.001293,0.000000,0.000000,102.133482
100.824303,0.035478,0.001360,0.000000,0.000000,100.861515
102.842031,0.036415,0.001578,0.000000,0.000000,102.880196
101.735884,0.033787,0.001424,0.000000,0.000000,101.771359
92.862933,0.025740,0.407691,0.000000,0.000000,93.296570
90.958763,0.034302,0.001139,0.000000,0.000000,90.994383
92.029608,0.047223,0.001193,0.000000,0.000000,92.078227
72.461083,0.038419,0.318574,0.000000,0.000000,72.818379
74.728813,0.101396,0.001785,0.000000,0.000000,74.832406
76.114781,0.091345,0.001272,0.000000,0.000000,76.207709
77.120200,0.088326,0.001643,0.000000,0.000000,77.210404
63.171934,0.089521,0.001751,0.000000,0.000000,63.263434
67.901202,0.102283,0.001775,0.000000,0.000000,68.005568
66.283914,0.094606,0.001528,0.000000,0.000000,66.380395
60.848952,0.105398,0.321800,0.000000,0.000000,61.276591
51.629455,0.111265,0.001815,0.000000,0.000000,51.742929
55.296222,0.093786,0.293845,0.000000,0.000000,55.684203
49.783148,0.092756,0.001409,0.000000,0.000000,49.877694
48.117368,0.064630,0.251361,0.000000,0.000000,48.433971
