#LBA time[ms], KF opt[#], KF fixed[#], MP[#], Edges[#]
0.000000,-1709860432,0,0,109
0.000000,32593,0,0,111
0.000000,-1709860360,-1728083696,0,117
0.000000,32593,32593,0,120
0.000000,32,-1728083696,0,127
0.000000,0,32593,0,135
0.000000,1,0,-1,640
0.000000,0,0,-1,0
0.000000,-1463967008,-1103860936,-1,724
0.000000,21949,-1089204842,-1,0
0.000000,-1520445568,1061938426,0,-1744829280
0.000000,21949,-1,0,32593
0.000000,24,1124024320,-1,-1732836656
0.000000,7,2,-1,32593
0.000000,-1504169983,1,-1,0
0.000000,21949,32,-1,0
0.000000,-1698142016,-1740481856,-1,-1709860864
0.000000,32593,32593,-1,32593
0.000000,-1536201696,-1740481856,-1,31439
0.000000,21949,32593,-1,0
0.000000,1077501390,-1740481824,-1,176
0.000000,1093012710,32593,-1,0
0.000000,-1845247136,-1740481824,-1,238
0.000000,21949,32593,-1,0
0.000000,0,0,-1,19
0.000000,0,0,-1,1140081951
0.000000,0,-1728068720,-1,1129360420
0.000000,0,32593,-1,1082242040
0.000000,0,-1728083632,0,-1504154336
0.000000,0,32593,-1130319463,1139742192
0.000000,0,-1728083560,-1086759431,-1555472096
0.000000,0,32593,1076548938,1
0.000000,0,32,-1,6
0.000000,0,0,-1,21949
0.000000,0,1,0,1065329967
0.000000,0,0,-1,21949
0.000000,0,-1493222816,0,264
0.000000,0,21949,0,0
0.000000,0,-1,-1734830928,251
0.000000,0,143,32593,0
0.000000,0,2,-1734830928,182
0.000000,0,1,32593,0
0.000000,0,-255,0,191
0.000000,0,-1,0,0
0.000000,0,-1720110112,-1,0
0.000000,0,32593,-1,0
0.000000,0,-1,0,0
0.000000,0,-1,-1,0
0.000000,0,1075083385,0,0
0.000000,0,1090846673,0,0
0.000000,0,-1845247136,-1734830880,-1501389152
0.000000,0,21949,32593,21949
0.000000,0,0,-1734830880,-1502780192
0.000000,0,0,32593,21949
0.000000,-1532174528,0,0,0
0.000000,21949,0,0,0
0.000000,69,0,-1,-1503078240
0.000000,0,0,-1,21949
0.000000,1,0,0,-1533265696
0.000000,32593,0,-1,21949
