#LBA time[ms], KF opt[#], KF fixed[#], MP[#], Edges[#]
7.871988,18,37,0,13549
0.761423,18,38,0,13903
0.000000,15,42,0,11839
0.000000,17,42,0,12651
0.000000,16,42,0,11063
0.000000,14,43,0,9761
0.000000,17,39,0,11448
0.000000,15,41,0,10879
1.035131,15,33,0,10668
0.963463,14,31,0,9380
0.000000,16,30,0,10360
0.000000,17,30,0,10880
0.000000,19,33,0,12550
0.000000,17,31,0,10793
1.412501,19,31,0,11742
1.405849,19,31,0,12046
0.000000,20,31,0,12375
0.000000,22,31,0,13354
0.000000,23,31,0,13707
0.000000,23,29,0,13573
1.625337,20,22,0,12679
0.000000,18,26,0,11586
1.440374,15,30,0,9559
1.165622,13,31,0,8946
0.000000,12,31,0,6916
1.131274,13,31,0,7345
0.000000,12,32,0,6512
1.289990,13,32,0,6673
1.151366,11,35,0,5677
1.097466,11,36,0,5678
0.000000,8,28,0,4773
0.000000,6,28,0,4371
0.000000,6,29,0,4654
0.000000,6,24,0,4730
0.000000,7,24,0,5308
0.000000,8,24,0,5737
0.000000,8,20,0,5729
0.000000,9,20,0,6077
0.000000,18,20,0,9586
0.000000,19,20,0,9836
0.000000,19,13,0,10083
0.000000,20,18,0,10931
0.000000,15,9,0,8600
0.000000,22,13,0,10918
0.000000,18,8,0,7779
0.000000,19,8,0,8243
0.000000,18,10,0,8058
0.000000,14,15,0,7622
0.000000,13,17,0,7790
0.000000,11,20,0,6542
0.000000,13,19,0,7950
1.430694,12,22,0,7128
0.000000,13,25,0,7929
1.298270,13,26,0,7905
0.000000,10,29,0,6849
1.369335,9,27,0,6534
2.229593,4,25,0,4095
2.308873,6,29,0,5952
1.546722,6,26,0,4794
1.612409,6,26,0,4550
1.697635,8,26,0,5417
1.195641,9,26,0,5586
0.862621,8,39,0,4807
0.572852,10,38,0,5421
0.603758,9,40,0,5025
0.646399,5,45,0,3925
0.751802,4,34,0,3465
0.841379,4,34,0,3777
0.538566,5,34,0,4645
0.751066,6,34,0,5540
1.054102,6,9,0,5706
0.851922,7,9,0,6178
1.523935,8,9,0,6761
0.000000,9,9,0,7307
1.290036,12,9,0,8606
1.158602,12,5,0,8548
1.202304,13,5,0,9294
1.454888,13,6,0,8821
0.000000,16,6,0,10326
0.000000,15,13,0,9845
0.000000,14,15,0,8145
0.000000,9,21,0,6389
1.411151,11,21,0,7301
1.364601,10,23,0,7346
0.000000,11,23,0,7554
1.428381,8,27,0,6061
1.339208,9,27,0,6220
1.943257,8,28,0,5136
1.721214,8,28,0,5071
1.752325,8,26,0,5138
1.347217,9,26,0,4576
1.099962,13,27,0,8565
0.000000,14,27,0,9152
1.267015,13,29,0,9645
0.000000,13,30,0,10312
0.000000,10,30,0,9776
0.000000,5,34,0,6051
11.547318,4,20,0,4120
1.277063,5,20,0,4532
1.448487,6,20,0,5042
1.342507,8,20,0,6378
1.611076,8,17,0,6222
1.388864,9,17,0,7044
1.948030,10,17,0,7675
1.889903,11,17,0,8359
1.622085,12,17,0,8892
1.794936,13,17,0,9301
1.565081,14,17,0,9739
1.006369,15,17,0,10171
0.930608,17,15,0,9519
0.844465,19,15,0,10391
0.538568,20,9,0,11047
0.722454,24,9,0,13571
0.952535,22,6,0,10407
1.067702,25,4,0,10963
0.845158,25,7,0,12143
1.482619,27,6,0,10660
0.000000,24,10,0,10541
1.810391,20,14,0,10152
1.433939,27,22,0,19346
0.000000,29,21,0,19566
1.452758,32,19,0,20836
0.000000,30,22,0,21125
0.000000,29,24,0,21179
0.000000,27,27,0,17004
1.588332,30,26,0,18783
1.769705,27,30,0,18667
1.979612,27,33,0,18899
1.248906,25,36,0,18867
1.250120,13,50,0,12506
1.277687,15,52,0,12362
0.000000,14,57,0,12919
0.000000,13,57,0,10442
0.000000,10,53,0,6639
2.244726,9,49,0,5991
0.000000,10,49,0,5425
1.439323,10,48,0,5666
0.000000,10,49,0,5941
1.494661,10,50,0,6202
1.180493,13,50,0,7559
2.546887,15,50,0,9059
2.083201,16,42,0,9184
2.530406,13,26,0,7577
2.791117,14,26,0,8193
1.731312,14,27,0,8358
1.385257,13,29,0,7984
0.997495,8,28,0,6141
0.514663,6,27,0,5538
0.578740,6,25,0,5173
0.677598,5,22,0,3795
0.664418,6,22,0,4204
0.565718,11,12,0,6395
12.370825,36,54,0,16679
0.739148,35,56,0,16985
10.406726,34,56,0,14194
0.000000,34,52,0,14280
0.000000,36,52,0,16319
0.000000,37,53,0,17407
0.531705,32,53,0,15406
0.000000,20,62,0,11807
0.000000,16,62,0,8065
0.000000,18,61,0,8807
0.000000,17,63,0,8947
1.092069,14,67,0,8460
1.071455,16,65,0,8768
0.000000,22,61,0,10594
0.000000,17,66,0,7993
0.000000,16,68,0,7483
0.000000,18,67,0,8580
1.071230,17,69,0,8350
0.000000,18,70,0,8208
0.000000,18,71,0,7192
0.000000,19,71,0,7644
0.000000,21,70,0,8319
0.000000,22,70,0,8703
0.000000,22,72,0,8945
0.000000,25,70,0,9101
0.000000,26,71,0,9116
0.000000,24,71,0,8852
0.000000,23,72,0,8982
0.000000,24,72,0,9533
1.612814,26,71,0,10092
0.000000,20,73,0,9619
0.000000,26,73,0,10716
0.000000,24,76,0,10790
0.000000,22,77,0,11033
0.000000,32,76,0,16465
1.638733,30,77,0,17021
1.205517,30,76,0,17436
1.000161,30,70,0,17634
1.180320,31,70,0,18192
0.000000,30,69,0,14957
0.000000,24,70,0,12908
0.000000,23,67,0,13040
0.000000,23,67,0,12768
0.000000,22,69,0,12893
1.233267,25,65,0,11902
1.157451,21,69,0,9737
1.098508,24,67,0,10580
1.204709,23,69,0,10569
1.449822,17,72,0,8385
2.296153,19,69,0,8222
0.629210,17,71,0,7795
0.577164,15,63,0,6775
0.663740,18,72,0,8736
0.415942,16,62,0,6092
2.059594,16,63,0,6504
0.000000,15,64,0,6803
3.507132,13,66,0,6585
3.597563,15,65,0,7326
2.492717,13,67,0,7259
16.945389,13,61,0,7583
3.354083,11,62,0,7198
0.000000,6,63,0,5603
3.226199,4,48,0,4029
0.000000,4,46,0,3160
3.129643,5,46,0,3653
0.000000,5,9,0,3379
4.192140,6,9,0,4015
0.000000,7,9,0,4757
15.891820,8,9,0,5331
0.000000,9,9,0,5913
0.000000,9,7,0,6161
0.000000,10,7,0,6807
0.000000,11,7,0,7329
0.000000,13,7,0,7763
3.710158,15,7,0,8266
3.890582,16,7,0,8650
2.307719,18,7,0,9201
0.000000,19,7,0,9901
0.000000,21,5,0,11791
2.898924,19,7,0,9757
2.270455,22,6,0,11378
3.070803,18,10,0,8914
0.000000,16,13,0,8544
0.000000,15,15,0,8880
0.000000,13,18,0,8530
0.000000,10,22,0,6846
2.615868,11,22,0,7269
1.879757,11,23,0,6092
0.000000,8,27,0,4971
1.680467,9,27,0,5033
1.700914,10,27,0,5211
1.811751,11,28,0,5912
1.779872,11,29,0,6055
2.504775,11,30,0,5159
2.135944,11,29,0,5653
2.380270,11,30,0,5861
2.199269,11,30,0,5793
2.277367,11,29,0,5790
0.000000,11,18,0,5895
1.935393,12,18,0,6478
2.396789,13,18,0,7331
2.404930,13,19,0,8159
0.000000,12,21,0,8944
1.510606,12,19,0,9317
0.000000,11,15,0,9065
15.383843,7,18,0,7257
0.000000,5,20,0,5267
1.858009,4,19,0,4061
0.000000,5,19,0,4549
0.000000,5,13,0,4060
1.774990,5,8,0,3691
1.198143,6,8,0,4058
1.128866,7,8,0,4424
1.090134,8,7,0,3838
1.712656,10,7,0,4669
1.676199,11,7,0,4971
2.425709,12,7,0,4243
1.189142,13,7,0,4713
0.812787,14,7,0,5098
1.031142,16,7,0,5868
0.831209,17,7,0,6311
1.229814,18,7,0,6858
1.498233,19,7,0,7355
0.935727,19,7,0,7676
0.622423,19,5,0,8475
0.000000,19,8,0,10083
0.000000,20,8,0,10309
0.000000,17,12,0,8122
0.000000,15,16,0,7836
0.000000,15,17,0,7653
0.000000,14,19,0,7834
0.000000,15,19,0,8434
0.000000,17,18,0,8851
1.259189,17,23,0,8277
1.915105,19,22,0,9151
0.000000,18,23,0,7388
1.589632,17,25,0,7798
1.881280,17,26,0,8247
1.953898,15,29,0,7845
1.559801,12,32,0,6641
1.517841,5,39,0,5113
1.528521,4,34,0,4400
1.218063,5,34,0,5007
1.518147,4,8,0,3774
1.966246,5,8,0,4014
1.181693,5,6,0,4164
1.894804,6,6,0,4521
0.000000,6,4,0,4596
1.273523,7,4,0,5152
0.000000,8,4,0,5734
0.000000,9,4,0,6235
0.000000,9,4,0,6371
1.651818,10,4,0,6669
1.773236,11,4,0,7067
1.279263,11,4,0,7044
1.256922,10,6,0,6600
1.465911,10,8,0,5522
1.659024,10,10,0,5638
1.717413,13,9,0,7428
2.009264,14,9,0,7878
2.038850,13,10,0,6954
2.325426,20,10,0,10338
2.966696,21,10,0,10979
2.338966,22,10,0,11770
18.417304,20,13,0,10979
0.625730,21,13,0,11570
0.666784,20,15,0,11787
0.873509,20,16,0,12047
0.758519,14,23,0,9457
1.069297,5,33,0,5560
1.084633,4,34,0,4400
0.955836,3,10,0,2662
1.032221,4,10,0,3014
0.839395,5,10,0,3620
0.000000,6,10,0,4060
0.000000,7,10,0,4558
1.295099,8,10,0,5134
1.351210,9,10,0,5598
1.012843,10,10,0,5984
0.000000,11,10,0,6487
0.000000,11,5,0,6520
0.000000,13,5,0,7352
0.000000,14,5,0,7955
1.304273,15,5,0,8666
0.000000,17,5,0,9141
2.202022,19,5,0,9802
0.000000,20,5,0,10335
0.000000,21,5,0,10889
0.000000,14,11,0,8185
0.000000,23,4,0,12390
0.000000,21,7,0,10274
0.000000,19,11,0,8756
1.554365,20,13,0,9728
1.834726,23,11,0,11079
1.468270,21,14,0,10414
0.000000,17,25,0,11087
1.512964,15,34,0,9069
1.588741,13,37,0,8584
1.185319,12,38,0,7504
1.222062,11,42,0,6267
1.070861,11,44,0,5980
1.364024,11,43,0,6101
1.263139,9,46,0,5554
0.000000,11,46,0,5821
1.316480,10,46,0,5058
1.392086,11,46,0,5440
0.000000,12,46,0,5618
0.000000,12,47,0,5461
0.000000,12,36,0,5674
0.000000,9,40,0,4573
2.616295,3,18,0,2254
2.484753,3,14,0,2032
2.123744,33,73,0,17243
15.285781,41,69,0,22068
1.778533,40,58,0,22091
1.619728,38,29,0,18747
0.984649,34,33,0,16382
0.838077,31,58,0,14403
0.707701,27,97,0,13343
0.000000,26,95,0,13385
0.918776,28,104,0,14635
0.707882,30,145,0,17079
1.073310,42,135,0,18395
1.460953,44,150,0,18660
1.405465,43,157,0,17994
1.455010,59,143,0,24307
1.434603,59,142,0,24996
1.492836,59,141,0,25377
1.330140,58,174,0,25524
0.000000,34,176,0,25878
1.549909,36,157,0,22304
0.000000,48,53,0,27144
1.681685,52,50,0,28053
0.000000,48,55,0,27938
1.965429,55,49,0,30066
0.000000,56,43,0,30707
0.000000,57,36,0,32044
0.000000,58,36,0,32851
1.793703,60,36,0,34748
0.000000,65,39,0,38425
1.382696,62,26,0,38106
1.646357,62,26,0,38694
0.000000,68,72,0,45797
0.000000,64,85,0,46687
1.047533,40,107,0,32018
1.772264,29,117,0,24404
1.602377,31,116,0,17900
1.480266,34,78,0,16807
0.000000,38,77,0,19166
0.000000,39,78,0,21197
0.000000,36,74,0,20172
0.000000,43,68,0,22451
0.000000,50,62,0,27319
0.000000,56,50,0,30978
0.000000,57,47,0,31305
0.000000,63,47,0,35796
0.000000,65,44,0,46840
0.000000,76,36,0,51555
0.000000,81,33,0,53446
0.000000,65,31,0,39099
0.000000,64,34,0,38429
0.000000,65,36,0,42351
16.748369,66,37,0,42958
3.083615,60,47,0,36824
3.965233,62,104,0,42001
2.613213,60,108,0,43254
18.669145,51,118,0,39329
2.182069,51,119,0,40420
0.000000,29,151,0,30714
2.336173,20,99,0,13013
2.555923,28,92,0,18419
0.000000,25,82,0,15591
0.000000,32,78,0,20591
2.432254,41,70,0,25863
2.821161,48,65,0,32378
0.000000,52,63,0,33787
2.300001,60,57,0,36510
0.000000,66,52,0,38091
0.000000,68,26,0,38679
0.000000,71,25,0,40856
2.287487,72,25,0,42109
0.000000,66,33,0,41904
0.000000,86,25,0,52850
0.000000,61,54,0,36719
2.406771,55,68,0,31000
1.778846,46,78,0,31423
1.227304,52,73,0,33168
1.377322,59,73,0,36529
0.000000,33,103,0,21933
1.483024,26,116,0,18375
0.986852,25,118,0,17785
0.996521,25,127,0,16882
19.611695,26,127,0,17954
0.000000,27,127,0,17785
0.000000,20,125,0,14807
1.184602,19,114,0,12751
0.000000,20,112,0,11090
1.241160,19,103,0,9894
0.000000,22,93,0,13639
0.000000,24,92,0,15413
0.000000,22,58,0,16238
2.176701,16,50,0,15156
0.000000,16,51,0,16087
0.000000,7,51,0,13003
0.000000,4,31,0,6665
0.000000,3,18,0,3193
0.000000,4,18,0,3243
0.000000,5,18,0,3611
0.000000,5,11,0,3310
0.000000,6,11,0,3633
0.000000,7,11,0,4085
0.000000,7,8,0,4108
0.000000,10,8,0,5348
0.000000,13,6,0,7195
0.000000,15,18,0,8782
0.000000,12,27,0,5910
2.121273,9,40,0,6121
21.519855,14,46,0,9450
1.951804,17,54,0,9386
1.660062,18,54,0,9636
1.320874,13,45,0,8112
1.008028,12,44,0,7667
1.132432,12,44,0,7725
1.124985,22,47,0,13017
1.070006,22,31,0,12705
0.000000,21,34,0,13063
0.000000,27,33,0,15930
0.000000,25,32,0,16304
0.000000,24,41,0,14826
0.000000,20,51,0,12328
0.001924,11,59,0,7280
3.893806,10,49,0,6200
3.326102,12,49,0,6906
0.000000,8,42,0,4548
2.103276,7,44,0,3969
0.000000,7,41,0,4009
1.832441,6,28,0,3307
0.000000,7,28,0,3910
0.000000,7,23,0,3729
0.000000,6,25,0,3495
0.000000,5,17,0,3393
3.593281,6,17,0,3793
0.000000,7,17,0,4494
3.756058,8,17,0,5027
0.000000,10,14,0,6037
0.000000,9,11,0,6077
2.011047,11,11,0,7421
0.000000,12,11,0,8206
1.834084,12,9,0,8557
0.000000,13,9,0,9142
1.240056,13,8,0,9414
1.586604,14,8,0,9813
0.000000,13,10,0,9953
1.391641,12,9,0,9808
19.932988,8,13,0,8305
1.589908,6,14,0,5628
1.742445,7,14,0,6256
1.241177,32,17,0,18291
1.087955,32,15,0,12997
1.235011,32,16,0,14291
1.463981,33,13,0,15114
0.000000,32,15,0,15654
1.118398,31,19,0,16400
1.165954,34,54,0,22715
1.128081,32,57,0,22766
1.404859,19,39,0,18396
1.447344,25,35,0,20337
0.000000,-1050667824,1722388148,-1038215168,1472520947
0.000000,32766,-1063663442,32766,1077800507
1.355885,64,1644044907,16,1441734622
0.000000,0,1075593334,1073741824,1078566699
0.000000,84,2143225502,-1038211264,1633324523
1.269410,0,-1068235810,32766,1078787834
0.000000,-1050667840,1647758512,17,-1151188674
1.582744,32766,-1062319211,1073741824,1078734459
0.000000,-710815154,1338679751,-1038214160,1404351227
1.962084,1074161830,-1060895927,32766,1078819187
0.994306,-914477367,1697154824,18,1658338413
1.121076,-1070561379,-1064124151,1073741824,1078619063
1.336042,-710815153,1840022501,-1038214832,-2011831401
1.620332,1074161830,-1068315961,32766,1077846174
1.649222,-2039320972,-345903433,19,1664385727
2.548500,1082392421,1079495450,1073741824,1077237969
1.341539,1329623388,2118734971,-1038210928,-1987642145
0.000000,1078465190,-1073449811,32766,1076582662
0.000000,-914477367,1874628965,20,-882083203
