#Image Rect[ms], Image Resize[ms], ORB ext[ms], Stereo match[ms], IMU preint[ms], Pose pred[ms], LM track[ms], KF dec[ms], Total[ms]
0.000000,0.000000,1.721436,3.779226,0.000000,1.913478,4.586781,0.092917,14.508978
0.000000,0.000000,2.596632,2.701248,0.000000,1.731276,4.267625,0.078537,13.481536
0.000000,0.000000,2.052711,2.648316,0.000000,1.485598,4.353180,0.764568,12.339995
0.000000,0.000000,1.726677,2.563421,0.000000,4.038716,5.760765,0.076608,12.233716
0.000000,0.000000,1.648109,3.526419,0.000000,3.096671,5.729708,0.083259,16.412567
0.000000,0.000000,1.722883,4.920257,0.000000,2.455182,5.443321,0.101232,17.146749
0.000000,0.000000,1.489941,2.518590,0.000000,2.077834,4.643732,0.082721,13.631055
0.000000,0.000000,1.574943,2.460372,0.000000,1.850555,4.676855,0.076931,12.268914
0.000000,0.000000,1.705320,2.550385,0.000000,1.753762,4.073937,0.754460,12.285017
0.000000,0.000000,1.753593,2.617049,0.000000,3.494128,5.423004,0.076958,12.271683
0.000000,0.000000,1.494279,2.517948,0.000000,2.604312,4.752020,0.073041,14.320602
0.000000,0.000000,1.590668,2.679771,0.000000,2.306312,4.913685,0.093481,13.606895
0.000000,0.000000,1.973052,2.689385,0.000000,3.178636,5.124680,0.092053,13.483320
0.000000,0.000000,1.561331,3.123558,0.000000,2.245093,4.219350,0.093957,14.648631
0.000000,0.000000,1.700709,2.599577,0.000000,1.807181,3.991950,0.855156,12.297255
0.000000,0.000000,1.809925,2.719744,0.000000,4.965986,5.462221,0.093654,12.581958
0.000000,0.000000,1.680191,3.253923,0.000000,2.754268,4.663678,0.094390,16.956285
0.000000,0.000000,1.734599,2.653270,0.000000,2.536993,4.563413,0.094367,13.361214
0.000000,0.000000,1.760694,3.125669,0.000000,2.279651,4.297954,0.091175,13.655125
0.000000,0.000000,1.670251,2.868686,0.000000,1.828934,4.090605,0.093078,12.755641
0.000000,0.000000,1.581729,2.792286,0.000000,1.744163,3.478958,0.082698,11.997918
0.000000,0.000000,1.899562,2.964121,0.000000,1.939244,3.285748,0.080701,11.580142
0.000000,0.000000,1.917798,2.661837,0.000000,3.232552,2.746155,1.110354,11.100272
