#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
9.188702,0.336533,28.446295,0.000000,0.000000,37.972180
9.385393,0.365462,10.158189,0.000000,0.000000,19.909217
8.827142,0.283200,6.685277,0.000000,0.000000,15.795807
8.466616,0.249760,9.087989,0.000000,0.000000,17.804708
7.899464,0.228467,10.036713,0.000000,0.000000,18.164918
9.368119,0.220170,10.887321,0.000000,0.000000,20.475928
9.948905,0.223593,10.759803,0.000000,0.000000,20.932617
9.438324,0.221221,9.042210,0.000000,0.000000,18.702212
10.065373,0.212016,12.594939,0.000000,0.000000,22.873239
11.098936,0.212541,12.163187,0.000000,0.000000,23.474885
11.449579,0.190550,38.446783,2.649050,2.649050,153.898871
10.797707,0.270611,36.505579,2.605489,2.605489,225.467724
11.554076,0.323340,38.912020,6.611913,6.611913,245.677237
9.718290,0.435744,34.551223,3.084934,3.084934,239.233535
10.849428,0.461125,32.023178,4.770026,4.770026,215.038497
7.751723,0.477528,26.188665,2.087832,2.087832,98.185218
8.489363,0.402442,10.658133,1.719384,1.719384,46.136285
7.396462,0.425028,11.749294,0.538529,0.538529,45.447821
7.934135,0.395373,10.588859,0.480668,0.480668,37.707537
7.770113,0.417273,12.612754,0.604308,0.604308,40.179656
7.305287,0.322745,13.697266,0.647667,0.647667,36.278537
6.850496,0.288324,4.939453,0.000000,0.000000,12.078495
5.759712,0.228217,8.916471,0.000000,0.000000,14.904679
6.696610,0.223654,10.183851,0.000000,0.000000,17.104270
6.762758,0.208556,18.371058,0.632011,0.632011,35.586006
6.563321,0.225379,4.947255,0.000000,0.000000,11.736310
5.671887,0.163491,20.055504,0.908690,0.908690,45.519574
7.396833,0.250565,19.105829,0.988347,0.988347,49.165233
7.989986,0.404506,21.679140,1.014248,1.014248,58.479282
7.901166,0.325620,28.281285,0.685449,0.685449,61.616796
7.414679,0.363064,20.889120,0.000000,0.000000,28.667113
7.214488,0.340353,22.484932,1.187896,1.187896,65.061326
9.453483,0.399596,24.401278,0.000000,0.000000,34.254652
8.349904,0.374290,24.375998,1.020740,1.020740,64.734699
7.927301,0.474691,23.985289,0.000000,0.000000,32.387639
8.581911,0.409849,31.135265,1.681253,1.681253,59.532205
9.567465,0.438007,27.377283,0.000000,0.000000,37.383320
7.638080,0.330649,24.693951,0.000000,0.000000,32.662913
